,word,tf_idf,sponsor_id
544,assistant secretary,0.1294623905681643,B001305
545,assistant,0.11271380473453932,B001305
546,hydrogen,0.10557276719867978,B001305
547,line credit,0.09678690332740314,B001305
548,obligor,0.09647592488082851,B001305
549,credit,0.08506020406661798,B001305
550,bifia program,0.192886005037572,B001306
551,bifia,0.192886005037572,B001306
552,project,0.17757490053814193,B001306
553,secured loan,0.14287590491188082,B001306
554,assistant secretary,0.1294623905681643,B001306
555,assistant,0.11271380473453932,B001306
556,hydrogen,0.10557276719867978,B001306
557,line credit,0.09678690332740314,B001306
558,obligor,0.09647592488082851,B001306
559,credit,0.08506020406661798,B001306
560,bifia program,0.192886005037572,B001307
561,bifia,0.192886005037572,B001307
562,project,0.17757490053814193,B001307
563,secured loan,0.14287590491188082,B001307
564,assistant secretary,0.1294623905681643,B001307
565,assistant,0.11271380473453932,B001307
566,hydrogen,0.10557276719867978,B001307
567,line credit,0.09678690332740314,B001307
568,obligor,0.09647592488082851,B001307
569,credit,0.08506020406661798,B001307
570,bifia program,0.192886005037572,B001309
571,bifia,0.192886005037572,B001309
572,project,0.17757490053814193,B001309
573,secured loan,0.14287590491188082,B001309
574,assistant secretary,0.1294623905681643,B001309
575,assistant,0.11271380473453932,B001309
576,hydrogen,0.10557276719867978,B001309
577,line credit,0.09678690332740314,B001309
578,obligor,0.09647592488082851,B001309
579,credit,0.08506020406661798,B001309
580,bifia program,0.192886005037572,B001310
581,bifia,0.192886005037572,B001310
582,project,0.17757490053814193,B001310
583,secured loan,0.14287590491188082,B001310
584,assistant secretary,0.1294623905681643,B001310
585,assistant,0.11271380473453932,B001310
586,hydrogen,0.10557276719867978,B001310
587,line credit,0.09678690332740314,B001310
588,obligor,0.09647592488082851,B001310
589,credit,0.08506020406661798,B001310
590,bifia program,0.192886005037572,B001311
591,bifia,0.192886005037572,B001311
592,project,0.17757490053814193,B001311
593,secured loan,0.14287590491188082,B001311
594,assistant secretary,0.1294623905681643,B001311
595,assistant,0.11271380473453932,B001311
596,hydrogen,0.10557276719867978,B001311
597,line credit,0.09678690332740314,B001311
598,obligor,0.09647592488082851,B001311
599,credit,0.08506020406661798,B001311
600,bifia program,0.192886005037572,B001312
601,bifia,0.192886005037572,B001312
602,project,0.17757490053814193,B001312
603,secured loan,0.14287590491188082,B001312
604,assistant secretary,0.1294623905681643,B001312
605,assistant,0.11271380473453932,B001312
606,hydrogen,0.10557276719867978,B001312
607,line credit,0.09678690332740314,B001312
608,obligor,0.09647592488082851,B001312
609,credit,0.08506020406661798,B001312
610,bifia program,0.192886005037572,B001313
611,bifia,0.192886005037572,B001313
612,project,0.17757490053814193,B001313
613,secured loan,0.14287590491188082,B001313
614,assistant secretary,0.1294623905681643,B001313
615,assistant,0.11271380473453932,B001313
616,hydrogen,0.10557276719867978,B001313
617,line credit,0.09678690332740314,B001313
618,obligor,0.09647592488082851,B001313
619,credit,0.08506020406661798,B001313
620,bifia program,0.192886005037572,C000059
621,bifia,0.192886005037572,C000059
622,project,0.17757490053814193,C000059
623,secured loan,0.14287590491188082,C000059
624,assistant secretary,0.1294623905681643,C000059
625,assistant,0.11271380473453932,C000059
626,hydrogen,0.10557276719867978,C000059
627,line credit,0.09678690332740314,C000059
628,obligor,0.09647592488082851,C000059
629,credit,0.08506020406661798,C000059
630,bifia program,0.192886005037572,C000127
631,bifia,0.192886005037572,C000127
632,project,0.17757490053814193,C000127
633,secured loan,0.14287590491188082,C000127
634,assistant secretary,0.1294623905681643,C000127
635,assistant,0.11271380473453932,C000127
636,hydrogen,0.10557276719867978,C000127
637,line credit,0.09678690332740314,C000127
638,obligor,0.09647592488082851,C000127
639,credit,0.08506020406661798,C000127
640,bifia program,0.192886005037572,C000141
641,bifia,0.192886005037572,C000141
642,project,0.17757490053814193,C000141
643,secured loan,0.14287590491188082,C000141
644,assistant secretary,0.1294623905681643,C000141
645,assistant,0.11271380473453932,C000141
646,hydrogen,0.10557276719867978,C000141
647,line credit,0.09678690332740314,C000141
648,obligor,0.09647592488082851,C000141
649,credit,0.08506020406661798,C000141
650,bifia program,0.192886005037572,C000174
651,bifia,0.192886005037572,C000174
652,project,0.17757490053814193,C000174
653,secured loan,0.14287590491188082,C000174
654,assistant secretary,0.1294623905681643,C000174
655,assistant,0.11271380473453932,C000174
656,hydrogen,0.10557276719867978,C000174
657,line credit,0.09678690332740314,C000174
658,obligor,0.09647592488082851,C000174
659,credit,0.08506020406661798,C000174
660,bifia program,0.192886005037572,C000266
661,bifia,0.192886005037572,C000266
662,project,0.17757490053814193,C000266
663,secured loan,0.14287590491188082,C000266
664,assistant secretary,0.1294623905681643,C000266
665,assistant,0.11271380473453932,C000266
666,hydrogen,0.10557276719867978,C000266
667,line credit,0.09678690332740314,C000266
668,obligor,0.09647592488082851,C000266
669,credit,0.08506020406661798,C000266
670,bifia program,0.192886005037572,C000537
671,bifia,0.192886005037572,C000537
672,project,0.17757490053814193,C000537
673,secured loan,0.14287590491188082,C000537
674,assistant secretary,0.1294623905681643,C000537
675,assistant,0.11271380473453932,C000537
676,hydrogen,0.10557276719867978,C000537
677,line credit,0.09678690332740314,C000537
678,obligor,0.09647592488082851,C000537
679,credit,0.08506020406661798,C000537
680,bifia program,0.192886005037572,C000754
681,bifia,0.192886005037572,C000754
682,project,0.17757490053814193,C000754
683,secured loan,0.14287590491188082,C000754
684,assistant secretary,0.1294623905681643,C000754
685,assistant,0.11271380473453932,C000754
686,hydrogen,0.10557276719867978,C000754
687,line credit,0.09678690332740314,C000754
688,obligor,0.09647592488082851,C000754
689,credit,0.08506020406661798,C000754
690,bifia program,0.192886005037572,C000880
691,bifia,0.192886005037572,C000880
692,project,0.17757490053814193,C000880
693,secured loan,0.14287590491188082,C000880
694,assistant secretary,0.1294623905681643,C000880
695,assistant,0.11271380473453932,C000880
696,hydrogen,0.10557276719867978,C000880
697,line credit,0.09678690332740314,C000880
698,obligor,0.09647592488082851,C000880
699,credit,0.08506020406661798,C000880
700,bifia program,0.192886005037572,C001035
701,bifia,0.192886005037572,C001035
702,project,0.17757490053814193,C001035
703,secured loan,0.14287590491188082,C001035
704,assistant secretary,0.1294623905681643,C001035
705,assistant,0.11271380473453932,C001035
706,hydrogen,0.10557276719867978,C001035
707,line credit,0.09678690332740314,C001035
708,obligor,0.09647592488082851,C001035
709,credit,0.08506020406661798,C001035
710,bifia program,0.192886005037572,C001039
711,bifia,0.192886005037572,C001039
712,project,0.17757490053814193,C001039
713,secured loan,0.14287590491188082,C001039
714,assistant secretary,0.1294623905681643,C001039
715,assistant,0.11271380473453932,C001039
716,hydrogen,0.10557276719867978,C001039
717,line credit,0.09678690332740314,C001039
718,obligor,0.09647592488082851,C001039
719,credit,0.08506020406661798,C001039
720,bifia program,0.192886005037572,C001047
721,bifia,0.192886005037572,C001047
722,project,0.17757490053814193,C001047
723,secured loan,0.14287590491188082,C001047
724,assistant secretary,0.1294623905681643,C001047
725,assistant,0.11271380473453932,C001047
